model,task,sample_idx,metric,seq_len_tokens,seq_len_chars,token_entropy,gzip_ratio,unique_token_ratio,question_position,newline_density,score_c0,cr_c0,score_c1,cr_c1,score_c2,cr_c2,score_c3,cr_c3,score_c4,cr_c4,score_c5,cr_c5,best_quality_config,best_quality_score,best_iso_tau_0.99,best_iso_tau_0.95,best_iso_tau_0.90
llama3,multi_news,5,rouge1,3864,18395,8.5728,0.4005,0.3165,0.8686,0.0009,0.321429,1.0,0.237942,20.7112,0.306818,5.3581,0.322222,3.412,0.264151,3.7734,0.239782,3.7734,C3,0.322222,C3,C2,C2
llama3,multi_news,6,rouge1,1241,5610,7.9327,0.4419,0.4085,0.7381,0.002,0.276364,1.0,0.254682,6.6518,0.300341,5.261,0.291525,3.412,0.272727,1.2119,0.281787,1.2119,C2,0.300341,C2,C2,C1
llama3,multi_news,7,rouge1,3825,18745,8.3485,0.3706,0.2897,0.8836,0.0006,0.369099,1.0,0.273381,20.5022,0.35206,5.357,0.330189,3.412,0.308333,3.7354,0.275556,3.7354,C0,0.369099,C0,C2,C2
llama3,multi_news,8,rouge1,2218,10063,7.8031,0.3696,0.2836,,0.0013,0.457143,1.0,0.235294,11.8886,0.462094,5.318,0.493421,3.412,0.406015,2.166,0.431818,2.166,C3,0.493421,C2,C2,C2
llama3,multi_news,9,rouge1,1153,5082,7.908,0.4583,0.4345,0.9603,0.0022,0.460606,1.0,0.250847,6.1801,0.330383,5.2505,0.428115,3.412,0.420382,1.126,0.412121,1.126,C0,0.460606,C0,C0,C3
llama3,multi_news,10,rouge1,7439,34688,9.0028,0.3478,0.2496,,0.0004,0.371069,1.0,0.299213,39.8734,0.352564,5.4092,0.394737,3.412,0.346405,7.2646,0.300654,7.2646,C3,0.394737,C3,C2,C4
llama3,multi_news,11,rouge1,1932,8923,7.747,0.3751,0.3059,,0.0012,0.387833,1.0,0.292035,10.3556,0.358209,5.2999,0.358333,3.412,0.351562,1.8867,0.321739,1.8867,C0,0.387833,C0,C0,C2
llama3,multi_news,12,rouge1,2629,13280,7.8939,0.3243,0.267,,0.001,0.3861,1.0,0.291188,14.0916,0.453125,5.3372,0.383459,3.412,0.365079,2.5674,0.396624,2.5674,C2,0.453125,C2,C2,C2
llama3,multi_news,13,rouge1,2978,14203,7.9905,0.3576,0.2754,,0.0009,0.293907,1.0,0.271493,15.9622,0.343284,5.3398,0.290541,3.412,0.243542,2.9082,0.316667,2.9082,C2,0.343284,C2,C2,C1
llama3,multi_news,14,rouge1,874,3980,7.6021,0.4372,0.4405,,0.0028,0.278571,1.0,0.234432,4.6847,0.363636,5.2046,0.332248,3.412,0.272727,1.0,0.272727,1.0,C2,0.363636,C2,C2,C2
llama3,multi_news,15,rouge1,2736,12552,8.047,0.3785,0.2979,,0.0009,0.329825,1.0,0.271605,14.6651,0.361204,5.3422,0.380282,3.412,0.331034,2.6719,0.349091,2.6719,C3,0.380282,C2,C2,C2
llama3,multi_news,16,rouge1,2044,8902,7.9208,0.4151,0.3283,0.3315,0.0012,0.279365,1.0,0.273616,10.9559,0.282759,5.3239,0.290323,3.412,0.27972,1.9961,0.294118,1.9961,C5,0.294118,C2,C1,C1
llama3,multi_news,17,rouge1,1572,7308,8.1072,0.4353,0.4097,,0.0015,0.355072,1.0,0.228346,8.426,0.343234,5.2876,0.315068,3.412,0.286713,1.5352,0.27027,1.5352,C0,0.355072,C0,C2,C2
llama3,multi_news,18,rouge1,4538,22086,8.4441,0.3711,0.2757,0.9707,0.0005,0.350877,1.0,0.264706,24.3239,0.316129,5.369,0.301538,3.412,0.32491,4.4316,0.33887,4.4316,C0,0.350877,C0,C5,C2
llama3,multi_news,19,rouge1,1527,6950,7.5228,0.3736,0.298,0.2747,0.0019,0.498141,1.0,0.219298,8.1848,0.526316,5.2803,0.467433,3.412,0.492188,1.4912,0.503876,1.4912,C2,0.526316,C2,C2,C2
llama3,multifieldqa_en,0,f1,1529,5225,7.6562,0.454,0.3362,0.9983,0.0188,0.75,1.0,0.75,8.1955,0.75,5.2814,0.75,3.412,0.75,1.4932,0.75,1.4932,C0,0.75,C1,C1,C1
llama3,multifieldqa_en,1,f1,3037,14071,8.3041,0.3913,0.3112,0.9994,0.0068,1.0,1.0,1.0,16.2785,1.0,5.347,1.0,3.412,1.0,2.9658,1.0,2.9658,C0,1.0,C1,C1,C1
llama3,multifieldqa_en,2,f1,9520,45349,9.0305,0.2622,0.1791,0.9998,0.0015,1.0,1.0,1.0,40.2003,1.0,5.4235,1.0,3.412,1.0,7.3242,1.0,7.3242,C0,1.0,C1,C1,C1
llama3,multifieldqa_en,3,f1,7393,31608,8.3178,0.3094,0.1658,0.9997,0.003,0.75,1.0,1.0,39.6268,0.75,5.4209,0.75,3.412,0.888889,7.2197,1.0,7.2197,C1,1.0,C1,C1,C1
llama3,multifieldqa_en,4,f1,7479,33949,9.2387,0.3893,0.2805,0.9997,0.0111,0.5,1.0,0.5,40.0878,0.5,5.4101,0.5,3.412,0.5,7.3037,0.5,7.3037,C0,0.5,C1,C1,C1
llama3,multifieldqa_en,5,f1,6599,19528,8.42,0.3644,0.177,0.9995,0.0277,0.571429,1.0,0.571429,35.3709,0.571429,5.3973,0.571429,3.412,0.571429,6.4443,0.571429,6.4443,C0,0.571429,C1,C1,C1
llama3,multifieldqa_en,6,f1,6288,20826,8.3493,0.3338,0.1625,0.9996,0.0181,0.514286,1.0,0.583333,33.704,0.571429,5.4135,0.5,3.412,0.782609,6.1406,0.782609,6.1406,C4,0.782609,C1,C1,C1
llama3,multifieldqa_en,7,f1,3684,6000,7.881,0.3659,0.1707,,0.0018,1.0,1.0,1.0,19.7464,1.0,5.3336,1.0,3.412,1.0,3.5977,1.0,3.5977,C0,1.0,C1,C1,C1
llama3,multifieldqa_en,8,f1,4463,21852,8.6743,0.3954,0.3079,0.9996,0.0053,1.0,1.0,1.0,23.9219,1.0,5.3717,1.0,3.412,1.0,4.3584,1.0,4.3584,C0,1.0,C1,C1,C1
llama3,multifieldqa_en,9,f1,3178,15563,8.257,0.3579,0.2618,0.9994,0.0068,0.25,1.0,0.25,17.0342,0.25,5.3452,0.25,3.412,0.25,3.1035,0.25,3.1035,C0,0.25,C1,C1,C1
llama3,multifieldqa_en,10,f1,2108,8995,8.0773,0.4297,0.3283,0.999,0.0073,0.272727,1.0,0.428571,11.299,0.272727,5.315,0.272727,3.412,0.272727,2.0586,0.272727,2.0586,C1,0.428571,C1,C1,C1
llama3,multifieldqa_en,11,f1,6202,31240,8.584,0.3354,0.2127,0.9997,0.0046,0.4,1.0,0.4,33.243,0.4,5.3957,0.4,3.412,0.4,6.0566,0.4,6.0566,C0,0.4,C1,C1,C1
llama3,multifieldqa_en,12,f1,4972,21982,8.6984,0.3497,0.2548,0.9996,0.0022,0.206897,1.0,0.176471,26.6502,0.206897,5.3908,0.206897,3.412,0.176471,4.8555,0.176471,4.8555,C0,0.206897,C2,C2,C2
llama3,multifieldqa_en,13,f1,14997,56541,8.4065,0.2042,0.0928,0.9998,0.0092,1.0,1.0,1.0,40.2003,1.0,5.4144,1.0,3.412,1.0,7.3242,1.0,7.3242,C0,1.0,C1,C1,C1
llama3,multifieldqa_en,14,f1,3785,14403,9.4641,0.4404,0.3868,0.9994,0.0044,0.0,1.0,0.0,20.2878,0.0,5.3677,0.0,3.412,0.0,3.6963,0.0,3.6963,C0,0.0,C1,C1,C1
llama3,multifieldqa_en,15,f1,9461,42138,9.0572,0.3951,0.2222,0.9998,0.0058,0.47619,1.0,0.518519,40.2003,0.47619,5.4208,0.47619,3.412,0.384615,7.3242,0.384615,7.3242,C1,0.518519,C1,C1,C1
llama3,multifieldqa_en,16,f1,7656,33274,9.3051,0.4012,0.2701,0.9997,0.005,0.0,1.0,0.105263,40.2003,0.0,5.4436,0.0,3.412,0.0,7.3242,0.0,7.3242,C1,0.105263,C1,C1,C1
llama3,multifieldqa_en,17,f1,3704,13757,7.6487,0.2999,0.1712,0.9993,0.0118,0.0,1.0,0.0,19.8536,0.0,5.3578,0.0,3.412,0.0,3.6172,0.0,3.6172,C0,0.0,C1,C1,C1
llama3,multifieldqa_en,18,f1,5300,22974,8.4297,0.3478,0.2072,0.9996,0.0047,0.413793,1.0,0.461538,28.4082,0.428571,5.3991,0.413793,3.412,0.461538,5.1758,0.461538,5.1758,C1,0.461538,C1,C1,C1
llama3,multifieldqa_en,19,f1,11048,44441,8.623,0.3246,0.1461,0.9998,0.0038,0.55,1.0,0.170213,40.2003,0.387097,5.4215,0.55,3.412,0.55,7.3242,0.55,7.3242,C0,0.55,C4,C4,C4
llama3,narrativeqa,0,f1,31373,127703,9.2856,0.3891,0.1576,0.9999,0.0184,0.444444,1.0,0.352941,40.2003,0.444444,5.4288,0.444444,3.412,0.555556,7.3242,0.555556,7.3242,C4,0.555556,C4,C4,C4
llama3,narrativeqa,1,f1,36248,157714,9.5496,0.3887,0.1602,0.9999,0.0198,0.142857,1.0,0.133333,40.2003,0.0,5.4298,0.142857,3.412,0.153846,7.3242,0.153846,7.3242,C4,0.153846,C4,C4,C1
llama3,narrativeqa,2,f1,13507,56169,9.049,0.4016,0.2137,0.9998,0.0192,0.117647,1.0,0.117647,40.2003,0.117647,5.4473,0.117647,3.412,0.117647,7.3242,0.117647,7.3242,C0,0.117647,C1,C1,C1
llama3,narrativeqa,3,f1,16516,62691,9.2044,0.424,0.2147,0.9998,0.0201,0.0,1.0,0.0,40.2003,0.0,5.4337,0.0,3.412,0.0,7.3242,0.0,7.3242,C0,0.0,C1,C1,C1
llama3,narrativeqa,4,f1,46708,153856,8.9604,0.3571,0.1214,0.9999,0.0376,0.0,1.0,0.0,40.2003,0.0,5.4126,0.5,3.412,0.5,7.3242,0.5,7.3242,C3,0.5,C1,C1,C1
llama3,narrativeqa,5,f1,37057,150571,9.2839,0.3741,0.1193,0.9999,0.0201,0.153846,1.0,0.153846,40.2003,0.153846,5.4273,0.153846,3.412,0.153846,7.3242,0.153846,7.3242,C0,0.153846,C1,C1,C1
llama3,narrativeqa,6,f1,8050,34101,9.3906,0.4275,0.3063,0.9997,0.0259,0.0,1.0,0.0,40.2003,0.0,5.4168,0.0,3.412,0.0,7.3242,0.0,7.3242,C0,0.0,C1,C1,C1
llama3,narrativeqa,7,f1,11380,47169,9.3137,0.4168,0.2562,0.9998,0.0211,0.666667,1.0,0.666667,40.2003,0.666667,5.4404,0.666667,3.412,0.666667,7.3242,0.666667,7.3242,C0,0.666667,C1,C1,C1
llama3,narrativeqa,8,f1,36233,157653,9.5497,0.3887,0.1603,0.9999,0.0198,0.5,1.0,0.5,40.2003,0.5,5.4301,0.5,3.412,0.5,7.3242,0.5,7.3242,C0,0.5,C1,C1,C1
llama3,narrativeqa,9,f1,36241,157679,9.5495,0.3887,0.1603,0.9999,0.0198,0.5,1.0,0.4,40.2003,0.4,5.4305,0.5,3.412,0.5,7.3242,0.5,7.3242,C0,0.5,C4,C4,C4
llama3,narrativeqa,10,f1,38183,133473,8.8186,0.3687,0.1113,0.9999,0.0283,1.0,1.0,0.5,40.2003,1.0,5.4154,1.0,3.412,1.0,7.3242,1.0,7.3242,C0,1.0,C4,C4,C4
