model,task,sample_idx,metric,seq_len_tokens,seq_len_chars,token_entropy,gzip_ratio,unique_token_ratio,question_position,newline_density,score_c0,cr_c0,score_c1,cr_c1,score_c2,cr_c2,score_c3,cr_c3,score_c4,cr_c4,score_c5,cr_c5,best_quality_config,best_quality_score,best_iso_tau_0.99,best_iso_tau_0.95,best_iso_tau_0.90
llama31_8b,multi_news,10,rouge1,7439,34688,9.0028,0.3478,0.2496,,0.0004,0.313187,1.0,0.305648,39.8742,0.374233,5.385,0.357955,3.412,0.394904,7.2646,0.345912,7.2646,C4,0.394904,C4,C1,C1
llama31_8b,multi_news,11,rouge1,1932,8923,7.747,0.3751,0.3059,,0.0012,0.39576,1.0,0.255507,10.3558,0.362369,5.2865,0.341935,3.412,0.35206,1.8867,0.360902,1.8867,C0,0.39576,C0,C0,C2
llama31_8b,multi_news,12,rouge1,2629,13280,7.8939,0.3243,0.267,,0.001,0.440154,1.0,0.314176,14.0919,0.334448,5.3196,0.369004,3.412,0.424908,2.5674,0.421053,2.5674,C0,0.440154,C0,C4,C4
llama31_8b,multi_news,13,rouge1,2978,14203,7.9905,0.3576,0.2754,,0.0009,0.312292,1.0,0.254237,15.9625,0.344595,5.3284,0.338462,3.412,0.245734,2.9082,0.268551,2.9082,C2,0.344595,C2,C2,C2
llama31_8b,multi_news,14,rouge1,874,3980,7.6021,0.4372,0.4405,,0.0028,0.30303,1.0,0.268199,4.6848,0.298413,5.2161,0.29375,3.412,0.30303,1.0,0.30303,1.0,C0,0.30303,C0,C2,C2
llama31_8b,multi_news,15,rouge1,2736,12552,8.047,0.3785,0.2979,,0.0009,0.390093,1.0,0.286765,14.6654,0.342342,5.3268,0.390533,3.412,0.291815,2.6719,0.33452,2.6719,C3,0.390533,C3,C3,C3
llama31_8b,multi_news,16,rouge1,2044,8902,7.9208,0.4151,0.3283,0.3315,0.0012,0.346591,1.0,0.280576,10.9562,0.340659,5.3099,0.331492,3.412,0.302115,1.9961,0.31454,1.9961,C0,0.346591,C0,C2,C2
llama31_8b,multi_news,17,rouge1,1572,7308,8.1072,0.4353,0.4097,,0.0015,0.27476,1.0,0.261224,8.4262,0.311688,5.2803,0.287582,3.412,0.273616,1.5352,0.263889,1.5352,C2,0.311688,C2,C1,C1
llama31_8b,multi_news,18,rouge1,4538,22086,8.4441,0.3711,0.2757,0.9707,0.0005,0.309859,1.0,0.232394,24.3244,0.292398,5.3646,0.333333,3.412,0.307692,4.4316,0.312139,4.4316,C3,0.333333,C4,C4,C2
llama31_8b,multi_news,19,rouge1,1527,6950,7.5228,0.3736,0.298,0.2747,0.0019,0.478571,1.0,0.196319,8.185,0.506173,5.2664,0.470588,3.412,0.415771,1.4912,0.482759,1.4912,C2,0.506173,C2,C2,C2
llama31_8b,multifieldqa_en,0,f1,1529,5225,7.6562,0.454,0.3362,0.9983,0.0188,0.75,1.0,0.75,8.1957,0.75,5.2873,0.75,3.412,0.75,1.4932,0.75,1.4932,C0,0.75,C1,C1,C1
llama31_8b,multifieldqa_en,1,f1,3037,14071,8.3041,0.3913,0.3112,0.9994,0.0068,1.0,1.0,1.0,16.2788,1.0,5.3475,1.0,3.412,1.0,2.9658,1.0,2.9658,C0,1.0,C1,C1,C1
llama31_8b,multifieldqa_en,2,f1,9520,45349,9.0305,0.2622,0.1791,0.9998,0.0015,0.0625,1.0,0.5,40.2012,0.0625,5.4044,0.0625,3.412,0.5,7.3242,0.5,7.3242,C1,0.5,C1,C1,C1
llama31_8b,multifieldqa_en,3,f1,7393,31608,8.3178,0.3094,0.1658,0.9997,0.003,1.0,1.0,0.888889,39.6276,0.888889,5.4058,1.0,3.412,1.0,7.2197,1.0,7.2197,C0,1.0,C4,C4,C4
llama31_8b,multifieldqa_en,4,f1,7479,33949,9.2387,0.3893,0.2805,0.9997,0.0111,1.0,1.0,1.0,40.0886,1.0,5.3902,1.0,3.412,1.0,7.3037,1.0,7.3037,C0,1.0,C1,C1,C1
