model,task,sample_idx,metric,seq_len_tokens,seq_len_chars,token_entropy,gzip_ratio,unique_token_ratio,question_position,newline_density,score_c0,cr_c0,kv_bytes_c0,kv_bytes_fp16_c0,score_c1,cr_c1,kv_bytes_c1,kv_bytes_fp16_c1,score_c2,cr_c2,kv_bytes_c2,kv_bytes_fp16_c2,score_c3,cr_c3,kv_bytes_c3,kv_bytes_fp16_c3,score_c4,cr_c4,kv_bytes_c4,kv_bytes_fp16_c4,score_c5,cr_c5,kv_bytes_c5,kv_bytes_fp16_c5,best_quality_config,best_quality_score,best_iso_tau_0.99,best_iso_tau_0.95,best_iso_tau_0.90
llama3,hotpotqa,11,qa_f1,15969,76568,9.4284,0.37,0.2278,0.9999,0.0039,0.666667,1.0,983957504.0,983957504.0,0.0,39.3782,24977408.0,983564288.0,0.666667,4.6204,212960379.2,983957504.0,0.666667,3.4032,289124352.0,983957504.0,0.666667,7.2813,135135232.0,983957504.0,0.666667,7.2813,135135232.0,983957504.0,C0,0.666667,C4,C4,C4
llama3,hotpotqa,12,qa_f1,3507,16166,9.0833,0.4285,0.3884,0.9994,0.0067,1.0,1.0,461242368.0,461242368.0,1.0,18.6622,24715264.0,461242368.0,1.0,4.5781,100749736.7,461242368.0,1.0,3.4051,135455552.0,461242368.0,1.0,3.4298,134479872.0,461242368.0,1.0,3.4298,134479872.0,461242368.0,C0,1.0,C1,C1,C1
llama3,hotpotqa,13,qa_f1,13481,61276,9.3435,0.3763,0.2268,0.9999,0.0043,0.0,1.0,983433216.0,983433216.0,0.0,39.5806,24846336.0,983433216.0,0.0,4.619,212910316.1,983433216.0,0.0,3.4076,288600064.0,983433216.0,0.0,7.3057,134610944.0,983433216.0,0.0,7.3057,134610944.0,983433216.0,C0,0.0,C1,C1,C1
llama3,hotpotqa,14,qa_f1,13330,48910,9.6626,0.4153,0.2658,0.9998,0.0082,0.0,1.0,985268224.0,985268224.0,0.0,37.6474,26157056.0,984743936.0,0.0,4.6177,213367993.0,985268224.0,0.0,3.3924,290435072.0,985268224.0,0.0,7.2209,136445952.0,985268224.0,0.0,7.2209,136445952.0,985268224.0,C0,0.0,C1,C1,C1
llama3,hotpotqa,15,qa_f1,14429,62696,9.4936,0.3783,0.2263,0.9999,0.0062,0.666667,1.0,983302144.0,983302144.0,0.666667,39.7852,24715264.0,983302144.0,0.666667,4.6163,213008048.2,983302144.0,0.666667,3.4087,288468992.0,983302144.0,0.666667,7.3119,134479872.0,983302144.0,0.666667,7.3119,134479872.0,983302144.0,C0,0.666667,C1,C1,C1
llama3,hotpotqa,16,qa_f1,10884,44633,9.1698,0.3814,0.2242,0.9998,0.0071,0.0,1.0,983695360.0,983695360.0,0.0,39.1778,25108480.0,983695360.0,0.0,4.6238,212746681.2,983695360.0,0.0,3.4054,288862208.0,983695360.0,0.0,7.2935,134873088.0,983695360.0,0.0,7.2935,134873088.0,983695360.0,C0,0.0,C1,C1,C1
llama3,hotpotqa,17,qa_f1,15393,72591,9.7743,0.3882,0.2658,0.9999,0.0034,0.0,1.0,983957504.0,983957504.0,0.0,38.9796,25239552.0,983826432.0,0.0,4.6222,212849561.5,983826432.0,0.0,3.4043,288993280.0,983826432.0,0.0,7.2813,135135232.0,983957504.0,0.0,7.2813,135135232.0,983957504.0,C0,0.0,C1,C1,C1
llama3,hotpotqa,18,qa_f1,16111,69660,9.2338,0.3726,0.1978,0.9999,0.0033,0.0,1.0,983564288.0,983564288.0,0.0,39.3782,24977408.0,983564288.0,0.0,4.6191,212934043.6,983564288.0,0.0,3.4065,288731136.0,983564288.0,0.0,7.3119,134479872.0,983302144.0,0.0,7.3119,134479872.0,983302144.0,C0,0.0,C1,C1,C1
llama3,hotpotqa,19,qa_f1,14628,69032,9.4605,0.3848,0.2467,0.9999,0.004,1.0,1.0,983302144.0,983302144.0,1.0,39.7852,24715264.0,983302144.0,1.0,4.6143,213098265.9,983302144.0,1.0,3.4087,288468992.0,983302144.0,1.0,7.3119,134479872.0,983302144.0,1.0,7.3119,134479872.0,983302144.0,C0,1.0,C1,C1,C1
llama3,multi_news,0,rouge_l,2662,12628,8.1994,0.3998,0.34,0.8747,0.001,0.198529,1.0,386793472.0,386793472.0,0.18543,5.2229,77144064.0,402915328.0,0.162791,4.5683,83778667.1,382730240.0,0.210526,2.563,158381408.0,405929984.0,0.202429,2.1638,185597952.0,401604608.0,0.15917,2.202,179699712.0,395706368.0,C3,0.210526,C3,C3,C1
